País;Mes;Any;Vehicles Comercials Mes;Vehicles Passatgers Mes;Venta Mensual vehicles;Vehicles Mes/1000 hab.;Vehicles Comercials Any;Vehicles Passatgers Any;Venta Anual vehicles;Vehicles Any/1000 hab.;Quantitat.Notícies.Recents
España;Diciembre;2023;15.757;81.772;97.251;2,00;178.370;949.359;1.124.076;23,11;0
España;Noviembre;2023;17.815;78.314;95.749;1,98;177.046;941.497;1.114.902;23,04;0
España;Octubre;2023;17.101;77.892;94.644;1,96;172.095;936.399;1.105.060;22,84;0
España;Septiembre;2023;13.399;68.803;81.569;1,69;168.186;924.474;1.089.368;22,52;0
España;Agosto;2023;11.594;55.954;67.423;1,39;166.709;922.911;1.086.552;22,46;0
España;Julio;2023;15.493;81.202;96.518;1,99;165.572;918.864;1.081.386;22,35;0
España;Junio;2023;17.842;101.085;118.621;2,45;163.208;911.040;1.071.251;22,14;0
España;Mayo;2023;14.534;92.025;106.292;2,21;157.916;899.207;1.054.254;21,94;0
España;Abril;2023;12.836;74.747;87.307;1,82;156.235;892.177;1.045.614;21,76;0
España;Marzo;2023;16.454;99.526;115.525;2,40;154.690;886.542;1.038.495;21,61;0
España;Febrero;2023;13.424;74.001;87.200;1,81;150.116;846.935;994.504;20,70;0
España;Enero;2023;12.121;64.038;75.977;1,58;148.163;835.036;980.721;20,41;0
España;Diciembre;2022;14.433;73.910;88.077;1,83;145.267;813.375;956.187;19,90;0
España;Noviembre;2022;12.864;73.216;85.907;1,80;143.358;825.546;966.535;20,22;0
España;Octubre;2022;13.192;65.967;78.952;1,65;143.249;818.729;959.537;20,08;0
España;Septiembre;2022;11.922;67.240;78.753;1,65;143.089;811.805;952.494;19,93;0
España;Agosto;2022;10.457;51.907;62.257;1,30;143.080;804.206;944.894;19,77;0
España;Julio;2022;13.129;73.378;86.383;1,81;142.001;799.882;939.560;19,66;0
España;Junio;2022;12.550;89.252;101.624;2,13;144.158;810.402;952.211;19,92;0
España;Mayo;2022;12.853;84.995;97.652;2,06;148.766;817.934;964.361;20,31;0
España;Abril;2022;11.291;69.112;80.188;1,69;154.085;828.338;980.163;20,64;0
España;Marzo;2022;11.880;59.919;71.534;1,51;160.445;837.820;996.106;20,98;0
España;Febrero;2022;11.471;62.102;73.417;1,55;168.766;863.718;1.030.491;21,70;0
España;Enero;2022;9.225;42.377;51.443;1,08;172.260;859.893;1.030.173;21,69;0
España;Diciembre;2021;12.524;86.081;98.425;2,07;174.578;859.482;1.032.107;21,73;0
España;Noviembre;2021;12.755;66.399;78.909;1,67;180.437;879.241;1.057.623;22,33;0
España;Octubre;2021;13.032;59.043;71.909;1,52;186.005;888.548;1.072.519;22,64;0
España;Septiembre;2021;11.913;59.641;71.153;1,50;192.323;903.733;1.093.984;23,09;0
España;Agosto;2021;9.378;47.583;56.923;1,20;196.657;914.820;1.109.550;23,42;0
España;Julio;2021;15.286;83.898;99.034;2,09;200.134;934.160;1.132.303;23,90;0
España;Junio;2021;17.158;96.784;113.774;2,40;207.180;968.192;1.173.340;24,77;0
España;Mayo;2021;18.172;95.399;113.454;2,39;207.727;954.059;1.159.783;24,47;0
España;Abril;2021;17.651;78.594;96.131;2,03;199.139;892.998;1.090.160;23,00;0
España;Marzo;2021;20.201;85.817;105.919;2,23;184.215;818.567;1.000.862;21,12;0
España;Febrero;2021;14.965;58.277;73.099;1,54;172.039;770.393;940.509;19,84;0
